"date","passages","hospitalisations"
"2014-09-08",1253,219
"2014-09-09",1117,182
"2014-09-10",1055,179
"2014-09-11",1010,178
"2014-09-12",1097,206
"2014-09-13",1167,195
"2014-09-14",1234,185
"2014-09-15",1202,247
"2014-09-16",1081,178
"2014-09-17",1143,210
"2014-09-18",1126,209
"2014-09-19",1138,217
"2014-09-20",1195,193
"2014-09-21",1088,193
"2014-09-22",1154,240
"2014-09-23",1030,212
"2014-09-24",1098,203
"2014-09-25",1075,226
"2014-09-26",1170,216
"2014-09-27",1285,206
"2014-09-28",1300,145
"2014-09-29",1250,175
"2014-09-30",1203,223
"2014-10-01",1183,189
"2014-10-02",1287,214
"2014-10-03",1253,243
"2014-10-04",1280,179
"2014-10-05",1271,184
"2014-10-06",1300,218
"2014-10-07",1345,231
"2014-10-08",1407,194
"2014-10-09",1413,218
"2014-10-10",1509,202
"2014-10-11",1444,175
"2014-10-12",1608,165
"2014-10-13",1689,222
"2014-10-14",1495,210
"2014-10-15",1176,233
"2014-10-16",1373,221
"2014-10-17",1401,206
"2014-10-18",1503,204
"2014-10-19",1521,174
"2014-10-20",1514,237
"2014-10-21",1212,240
"2014-10-22",1152,243
"2014-10-23",1248,209
"2014-10-24",1164,252
"2014-10-25",1256,187
"2014-10-26",1324,177
"2014-10-27",1317,241
"2014-10-28",937,245
"2014-10-29",1049,201
"2014-10-30",1109,178
"2014-10-31",1200,141
"2014-11-01",1395,200
"2014-11-02",1369,143
"2014-11-03",1462,209
"2014-11-04",1260,190
"2014-11-05",1215,177
"2014-11-06",1330,231
"2014-11-07",1257,220
"2014-11-08",1370,213
"2014-11-09",1373,187
"2014-11-10",1470,174
"2014-11-11",1233,260
"2014-11-12",1381,215
"2014-11-13",1296,226
"2014-11-14",1332,238
"2014-11-15",1419,179
"2014-11-16",1342,170
"2014-11-17",1347,259
"2014-11-18",1310,220
"2014-11-19",1325,181
"2014-11-20",1367,226
"2014-11-21",1319,195
"2014-11-22",1385,194
"2014-11-23",1503,187
"2014-11-24",1309,223
"2014-11-25",1250,214
"2014-11-26",1268,174
"2014-11-27",1307,198
"2014-11-28",1298,216
"2014-11-29",1336,188
"2014-11-30",1410,194
"2014-12-01",1416,241
"2014-12-02",1255,199
