"Date","Passages","Hospitalisations"
"2014-11-23","1503","189"
"2014-11-24","1309","199"
"2014-11-25","1250","220"
"2014-11-26","1268","207"
"2014-11-27","1307","234"
"2014-11-28","1298","219"
"2014-11-29","1336","214"
"2014-11-30","1410","199"
"2014-12-01","1416","230"
"2014-12-02","1255","208"
"2014-12-03","1264","208"
"2014-12-04","1169","232"
"2014-12-05","1337","188"
"2014-12-06","1298","201"
"2014-12-07","1436","198"
"2014-12-08","1464","243"
"2014-12-09","1316","226"
"2014-12-10","1259","197"
"2014-12-11","1270","209"
"2014-12-12","1392","253"
"2014-12-13","1427","220"
"2014-12-14","1384","192"
"2014-12-15","1450","263"
"2014-12-16","1292","220"
"2014-12-17","1267","232"
"2014-12-18","1162","203"
"2014-12-19","1329","250"
"2014-12-20","1321","197"
"2014-12-21","1287","174"
"2014-12-22","1321","230"
"2014-12-23","1193","187"
"2014-12-24","1183","214"
"2014-12-25","1126","206"
"2014-12-26","1438","257"
"2014-12-27","1453","302"
"2014-12-28","1134","193"
"2014-12-29","1478","255"
"2014-12-30","1326","261"
"2014-12-31","1195","222"
