"","3Fr","Alk","Ane","Col","Dia","Dts","Geb","Hag","Hus","Mul","Odi","Ros","Sav","Sel","Wis"
"2014-12-18",40,45,51,174,78,26,32,116,306,162,3,17,84,2,26
"2014-12-19",36,51,47,206,82,26,43,126,320,184,0,22,71,79,36
"2014-12-20",48,47,48,192,79,20,35,110,299,205,5,15,104,85,29
"2014-12-21",45,42,37,184,73,15,42,131,297,195,5,19,85,89,28
"2014-12-22",58,49,0,221,78,33,29,122,298,202,0,16,105,88,22
"2014-12-23",39,48,0,156,78,24,43,116,267,197,1,21,90,82,31
"2014-12-24",41,46,0,178,85,15,28,126,290,175,1,23,77,71,27
"2014-12-25",41,33,0,178,75,10,42,119,298,168,3,17,98,5,39
"2014-12-26",57,54,0,229,73,15,51,161,299,242,0,13,118,97,29
"2014-12-27",51,45,0,223,97,15,40,145,362,205,2,16,103,103,46
"2014-12-28",53,35,0,163,80,21,36,105,290,168,2,7,62,83,29
"2014-12-29",60,63,0,201,92,33,60,185,300,225,1,21,111,88,38
"2014-12-30",43,59,0,207,97,21,44,107,315,193,3,23,87,92,35
"2014-12-31",47,62,0,183,81,17,43,125,249,167,3,6,89,88,35
