"date","total"
"2013-10-13","1067"
"2013-10-14","995"
"2013-10-15","890"
"2013-10-16","943"
"2013-10-17","976"
"2013-10-18","926"
"2013-10-19","1038"
"2013-10-20","995"
"2013-10-21","993"
"2013-10-22","958"
"2013-10-23","905"
"2013-10-24","928"
"2013-10-25","996"
"2013-10-26","982"
"2013-10-27","995"
"2013-10-28","1010"
"2013-10-29","998"
"2013-10-30","927"
"2013-10-31","856"
"2013-11-01","850"
"2013-11-02","1080"
"2013-11-03","779"
"2013-11-04","980"
"2013-11-05","891"
"2013-11-06","880"
"2013-11-07","971"
"2013-11-08","922"
"2013-11-09","998"
"2013-11-10","785"
"2013-11-11","970"
"2013-11-12","986"
"2013-11-13","897"
"2013-11-14","859"
"2013-11-15","939"
"2013-11-16","908"
"2013-11-17","930"
"2013-11-18","1074"
"2013-11-19","956"
"2013-11-20","885"
"2013-11-21","891"
"2013-11-22","931"
"2013-11-23","952"
"2013-11-24","931"
"2013-11-25","1047"
"2013-11-26","879"
"2013-11-27","761"
"2013-11-28","892"
"2013-11-29","895"
"2013-11-30","938"
"2013-12-01","978"
"2013-12-02","1112"
"2013-12-03","836"
"2013-12-04","910"
"2013-12-05","999"
"2013-12-06","881"
"2013-12-07","1022"
"2013-12-08","945"
"2013-12-09","1111"
"2013-12-10","926"
"2013-12-11","958"
"2013-12-12","978"
"2013-12-13","937"
"2013-12-14","785"
"2013-12-15","716"
"2013-12-16","1048"
"2013-12-17","976"
"2013-12-18","774"
"2013-12-19","928"
"2013-12-20","968"
"2013-12-21","870"
"2013-12-22","1055"
"2013-12-23","1066"
"2013-12-24","981"
"2013-12-25","942"
"2013-12-26","1059"
"2013-12-27","1182"
"2013-12-28","1060"
"2013-12-29","970"
"2013-12-30","1031"
"2013-12-31","918"
