"Zone de proximité","Nombre de RPU"
"ALTKIRCH",12660
"COLMAR",67378
"GUEBWILLER",16024
"HAGUENAU",39938
"MULHOUSE",96091
"SAINT-LOUIS",16134
"SAVERNE",29445
"SCHIRMECK",NA
"SELESTAT",28828
"STRASBOURG",98077
"THANN",NA
"WISSEMBOURG",12158
"TOTAL",416733
